Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,4105.883,1252.5534,51428.3751,8.7112,1.0238,41.2445,0.0465,1129.5705,58.2414,5107.4164,648.9378,33143.9534,8.7882,1.0261,30.8133,0.0619,1175.615,40.1387,47.148,27.6698,13.0457,0.5123,1.004,0.0023,0.0237,2930.4177,0.6547,475.0037,513.4831,2439.0635,0.1193,1.0195,0.2897,0.0016,5363.4228,0.8401,133.7516,79.8286,106.772,0.0677,1.0237,0.0091,0.0016,6003.6739,0.125,5081.4577,739.5622,37580.5419,9.0994,1.0213,41.2445,0.1352,1573.458,0.7627
2,3002.9381,1403.9406,42159.4664,7.7062,1.022,24.3646,0.0435,1138.9078,61.0398,3322.6251,750.7199,24943.6065,7.7686,1.025,19.3633,0.0497,1228.535,37.3322,42.257,27.0309,11.4224,0.4425,1.0034,0.0019,0.0208,3085.7899,0.5625,477.9577,486.9918,2327.6151,0.1357,1.0217,0.2897,0.0019,4550.3309,0.9194,152.9296,81.6428,124.8561,0.0809,1.0257,0.0127,0.0018,5190.8964,0.1461,3569.4704,849.6705,30328.7379,8.0669,1.02,24.3646,0.1177,1637.3478,0.751
3,3089.6035,1583.8647,48935.1374,7.4249,1.0223,29.5104,0.0393,1140.8343,62.2398,3233.5162,769.9987,24898.0328,7.4211,1.0264,19.8729,0.047,1241.8661,36.1588,54.4656,27.6342,15.0511,0.4969,1.0036,0.0045,0.0231,2952.6802,0.6388,433.1361,349.5981,1514.2355,0.1358,1.0203,0.2254,0.0021,4141.0548,0.7236,204.1609,146.0856,298.2498,0.1027,1.0288,0.0292,0.0016,5386.4893,0.239,3733.2755,884.3467,33015.0974,7.7907,1.0202,29.5104,0.1131,1669.5284,0.7453
4,2972.7048,2915.0903,86657.0272,6.325,1.0206,45.6226,0.0245,1123.6588,71.5032,1408.9639,560.153,7892.3529,6.1798,1.0266,4.5031,0.0483,1286.6325,27.0487,56.9227,28.5597,16.257,0.6167,1.0044,0.0045,0.0281,2717.2051,0.8012,331.3678,234.6017,777.3944,0.1101,1.021,0.0903,0.0019,4594.3262,0.4495,201.9012,131.9579,266.4246,0.0847,1.029,0.0292,0.0015,4930.771,0.1975,4419.8889,958.9416,42384.1516,6.6582,1.0192,45.6226,0.1043,1746.1939,0.6688
5,4031.7365,2729.1522,110032.2261,7.3021,1.0184,65.1191,0.025,1096.321,68.3163,2089.7157,605.0171,12643.1378,7.2391,1.0302,10.1532,0.0494,1220.7401,29.8835,58.3805,29.6925,17.3346,0.8435,1.0055,0.0036,0.0373,2354.2081,1.1074,250.8364,355.9777,892.9217,0.0735,1.0204,0.0789,0.001,11503.9056,0.3634,357.975,1569.8648,5619.7243,0.0286,1.025,0.316,0.0002,28014.4971,0.3293,5927.7035,885.3321,52479.8606,7.7434,1.0193,65.1191,0.113,1710.133,0.7104
6,4589.3075,1620.0742,74350.1865,7.4809,1.0209,53.5483,0.0371,1118.0673,60.0831,2537.2657,913.7765,23184.9393,7.5646,1.0298,13.723,0.0399,1223.2258,36.4829,63.247,30.9375,19.567,1.0509,1.0063,0.0045,0.0452,2146.1287,1.3987,603.5643,445.6113,2689.5507,0.2002,1.0233,0.4969,0.0027,5001.6069,1.1902,344.2794,1590.1543,5474.5738,0.0775,1.03,0.4011,0.0005,8389.6229,0.845,5330.747,797.2826,42501.1157,8.1871,1.0185,53.5483,0.1254,1635.6306,0.8268
7,4619.2573,783.8953,36210.1421,8.0397,1.0222,32.9804,0.0596,1161.9137,46.6884,3599.8658,1562.4735,56246.9488,8.1957,1.027,37.5465,0.0325,1172.0782,50.8018,82.5378,32.3812,26.7267,1.1342,1.0066,0.0071,0.0477,2112.4424,1.5432,285.1095,493.1111,1405.9066,0.13,1.0181,0.1666,0.0017,6431.2584,0.8551,199.4623,234.2776,467.2955,0.0308,1.0281,0.0276,0.0005,12265.1744,0.1114,5068.7672,704.515,35710.2252,8.7652,1.018,37.5465,0.1419,1584.9624,0.8123
8,2509.9111,563.2216,14136.3609,8.9947,1.0249,10.6141,0.0723,1140.8933,40.7048,4215.6644,1710.2198,72097.1275,9.2051,1.0252,48.1021,0.0318,1144.879,54.4576,90.2984,35.1238,31.7162,1.6745,1.0086,0.0107,0.0662,1818.6326,2.3243,463.3402,630.7174,2922.3668,0.2337,1.0243,0.4969,0.0025,3864.7813,1.6053,393.0624,1159.4839,4557.4956,0.0989,1.0347,0.4011,0.0008,6847.4727,0.908,5591.1564,575.9829,32204.1024,10.1035,1.0188,48.1021,0.1736,1465.6177,0.8933
9,3486.4733,4026.703,140389.9262,8.9103,1.0232,70.7328,0.0181,1081.4754,73.0354,2547.4418,243.6102,6205.8291,8.5999,1.0271,7.2164,0.1032,1165.6907,25.1418,64.2591,32.0339,20.5847,1.2237,1.0069,0.0029,0.0515,1991.0468,1.6494,191.7726,238.6348,457.6362,0.023,1.0158,0.0322,0.0004,15347.5624,0.0968,202.8382,144.2261,292.5458,0.0321,1.0285,0.0234,0.0005,5033.372,0.0766,7927.974,575.473,45623.3483,9.3945,1.0207,70.7328,0.1738,1446.3908,0.6565
10,2659.3225,7811.8451,207742.1533,7.9108,1.0177,78.0084,0.0101,1057.9604,78.6556,1025.2437,199.3828,2044.1596,7.5977,1.0264,1.363,0.101,1195.798,20.1395,53.5878,29.4943,15.8054,0.7903,1.0048,0.0023,0.0352,2342.5975,1.0386,158.1016,367.6952,581.332,0.0264,1.0228,0.0322,0.0003,13198.6823,0.1234,278.7055,109.4792,305.1245,0.0189,1.0197,0.0234,0.0004,5418.3442,0.0429,8001.7226,680.189,54426.8388,8.172,1.0206,78.0084,0.147,1499.6787,0.5706
