Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
1,22.2071991,7.1539102,541.5089722,31.6739006,10.0469999,21.6268997,27.9748001,16.4911003,27.9799004,14.9298,1709.060059,283.6860046,25.1653004,69.9312973,786,106.4049988,785.9920044,126.2639999,1071.150024,1202.089966,892,183,839,64.85
2,22.6347008,7.4158201,512.9249878,31.9235992,10.7177,21.2059002,27.7352009,17.2026005,28.0991001,15.7110004,1803.930054,307.7770081,23.2810001,72.7185974,832.3969727,101.8180008,826.1409912,121.2310028,1069.630005,1204.890015,905,320,1551,85.24
3,19.8677998,11.0853996,362.1619873,29.1093998,7.19977,21.9095993,23.3134995,16.3367996,23.3288994,14.7545004,1543.280029,318.1570129,17.4627991,84.8115997,837.6690063,57.0909004,801.9920044,67.5455017,973.6810303,1199.430054,676,1175,1441,20.05
4,22.2800007,7.6360202,557.3140259,32.2113991,9.9422102,22.2691002,28.3153992,16.2830009,28.3153992,14.7955999,1586.119995,286.7690125,30.0247993,76.9027023,841.4550171,108.5449982,841.4550171,113.8180008,1046.410034,1161.969971,721,200,780,66.9
5,21.7780991,7.4039102,576.9019775,31.9190006,9.2172899,22.7017994,28.0589008,15.6286001,28.0589008,14.0580997,1599.800049,281.678009,31.2810001,74.7324982,830.1409912,114,830.1409912,118.9260025,1040.780029,1157.199951,684,120,307,42.44
6,21.3848,7.1816301,599.190979,31.7154999,8.6640301,23.0513992,27.9167004,15.0593996,27.9167004,13.4057999,1547.920044,262.6199951,30.2148991,71.8258972,773.3309937,111.9260025,773.3309937,122.2149963,1040.339966,1160.27002,754,108,310,32.72
7,21.3066006,6.9230599,607.7260132,31.6154995,8.5958996,23.0195999,27.9263,14.9370003,27.9263,13.2412004,1564.819946,263.9259949,31.3470993,70.8728027,764.6939697,110.1569977,764.6939697,133.2890015,1040.640015,1175.300049,727,102,429,44.4
8,21.1550007,6.9121399,595.5969849,31.2621002,8.5193701,22.7427998,27.5426006,14.8654003,27.6082001,13.2332001,1575.430054,264.8760071,31.9503994,70.2658005,752.1740112,107.8840027,751.9500122,138.2310028,1037.979981,1185.420044,962,144,711,68.65
9,21.1784,7.0552301,582.7189941,31.1480007,8.6211596,22.5268002,27.3211002,15.0028,27.4417992,13.3956003,1586.77002,258.9339905,30.4298,67.4564972,724.3549805,111.901001,723.7109985,142.8350067,1041.349976,1186.540039,1122,210,1113,91.37
10,21.5513992,7.348,563.9899902,31.4815006,9.0885,22.3929996,27.2693005,15.5448999,27.5876007,13.9745998,1636.369995,264.2399902,27.8430004,67.2478027,727.6450195,113.1070023,723.802002,142.628006,1054.290039,1188.300049,1001,247,1040,68.82
