Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,0,0,0,0,0,0,0,0,0,38.49001795,133.8764423,51.52906668,0.048574722,1.024076071,0.03990423,0.000894203,52824.7954,0.11971269,341.7343842,9774.332578,33402.25524,2.842677197,1.034819545,39.68475658,0.007377173,2354.961895,72.10694334,322.4607842,1972.021246,6358.995174,2.81099803,1.033667243,10.1556265,0.014083694,2385.058917,27.77334397,0,0,0,0,0,0,0,0,0,447.1388728,4473.258193,20001.67626,2.851124974,1.033663855,39.68475658,0.02235507,4392.7164,0.599660579
2,0,0,0,0,0,0,0,0,0,0,178.5019231,0,0.014783611,1.048152142,0.03990423,0.000223551,0,0.03990423,392.5335008,8710.411411,34191.28284,3.028528306,1.035913489,41.71987231,0.008271376,2196.957942,72.04708699,397.6232561,2190.563074,8710.188221,3.013744695,1.029797028,11.11332801,0.01274239,3135.738552,27.91300878,0,0,0,0,0,0,0,0,0,476.4373968,4708.692835,22433.97357,3.028528306,1.032372441,41.71987231,0.021237316,2766.2185,0.595521249
3,0,0,0,0,0,0,0,0,0,0,89.25096156,0,0.014783611,1,0.019952115,0.000447101,2112.474397,0.03990423,427.4205671,9368.871771,40044.48485,3.081326917,1.029928512,52.41420591,0.008047825,2041.046422,75.3990423,210.1599152,1927.507608,4050.848355,3.070767194,1.036139978,3.651237031,0.01274239,2839.936923,24.56105347,0,0,0,0,0,0,0,0,0,528.9362224,4708.692835,24905.98201,3.083438861,1.033025318,52.41420591,0.021237316,2521.8845,0.560870792
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0478551,80325.86541,179165.1199,1.898638038,1.042665777,89.60494812,0.001117753,1889.454541,89.78451716,169.2770119,625.9793468,1059.639133,1.898638038,1.027516034,1.41660016,0.016319201,2425.596411,10.21548284,0,0,0,0,0,0,0,0,0,790.3810779,5734.946402,45327.93119,1.898638038,1.028487171,89.60494812,0.017436955,2391.2283,0.329791982
5,0,0,0,0,0,0,0,0,0,0,89.25096156,0,0.006335833,1,0.019952115,0.000223551,0,0.019952115,290.8107114,46489.8342,135197.4176,0.939815269,1.031913407,90.96169194,0.002011956,2346.059956,93.53551476,256.2505948,1029.573592,2638.288454,0.933479436,1.025802115,2.893056664,0.00625942,3447.984119,6.444533121,0,0,0,0,0,0,0,0,0,559.7221631,11771.73209,65888.99348,0.939815269,1.026570523,90.96169194,0.008494927,3179.9485,0.240913775
6,184.0653161,440.6766227,811.1328186,0.359030552,1.019943906,0.598563448,0.003576811,3905.224658,1.576217079,135.3545349,427.8796098,579.1544558,0.749740271,1.027324192,0.598563448,0.007600724,3827.922737,3.252194733,199.7754425,105985.5169,211733.0353,1.091875268,1.038351249,94.69273743,0.000894203,1889.454541,94.77254589,74.04953297,255.0027473,188.8283435,0.092925555,1.011214971,0.11971269,0.001564855,9472.487993,0.399042298,0,0,0,0,0,0,0,0,0,738.928356,7333.210153,54187.16923,1.146785823,1.024262866,94.69273743,0.013636593,4368.823,0.249756553
7,0,0,0,0,0,0,0,0,0,0,89.25096156,0,0.016895555,1,0.019952115,0.000447101,3895.210324,0.03990423,698.7142058,2750.287783,19216.65144,4.312590517,1.028117909,41.0415004,0.020566664,2180.586861,56.56424581,414.2602379,4313.796475,17870.34354,4.295694961,1.039162687,26.41660016,0.010059781,3045.562026,43.39584996,0,0,0,0,0,0,0,0,0,578.0107972,3218.171362,18601.37795,4.312590517,1.031288982,41.0415004,0.031073547,2485.2856,0.687693572
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.0446601,2781.309035,13379.33859,5.672682727,1.030982608,26.09736632,0.01922536,2140.822873,53.471668,428.090887,2145.703529,9185.561273,5.672682727,1.033107268,18.4557063,0.021684418,2195.073827,46.528332,0,0,0,0,0,0,0,0,0,463.2180536,2444.403384,11322.91778,5.672682727,1.032108794,26.09736632,0.040909778,2169.5788,0.690734744
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.951889,53308.32433,140175.2458,3.476260524,1.055564426,82.98084597,0.001564855,1921.31452,83.4197925,243.3782584,553.4891721,1347.072308,3.476260524,1.027955634,2.573822825,0.029955794,2416.18734,16.5802075,0,0,0,0,0,0,0,0,0,984.7735902,3172.523541,31242.17398,3.476260524,1.029326284,82.98084597,0.031520649,2391.6192,0.449167007
10,0,0,0,0,0,0,0,0,0,0,178.5019231,0,0.012671667,1.008182253,0.03990423,0.000223551,0,0.03990423,173.0928771,137773.7343,238476.5206,1.742354151,1.054732544,92.35833998,0.000670652,1963.794493,92.39824421,185.5430283,445.080453,825.815751,1.729682484,1.025775096,1.117318436,0.016989853,3097.635774,7.561851556,0,0,0,0,0,0,0,0,0,825.3391528,5591.572742,46149.4391,1.742354151,1.02664109,92.35833998,0.017884056,3054.5785,0.271426274
11,0,0,0,0,0,0,0,0,0,0,178.5019231,0,0.012671667,1.008182253,0.03990423,0.000223551,0,0.03990423,0,444469.7886,0,0.213306387,1.116010457,99.36153232,0.000223551,0,99.36153232,83.59446266,191.2520605,159.8761323,0.20063472,1.019469027,0.11971269,0.00312971,5075.5149,0.598563448,0,0,0,0,0,0,0,0,0,397.2762281,27957.86371,111069.9464,0.213306387,1.024797443,99.36153232,0.003576811,5075.5149,0.040124162
12,0,0,0,0,0,0,0,0,0,38.49001795,133.8764423,51.52906668,0.033791111,1.004091126,0.03990423,0.000894203,27509.75176,0.11971269,0,443041.7732,0,0.20063472,1.114396102,99.04229848,0.000223551,0,99.04229848,87.51068311,191.2520605,167.3659846,0.156283887,1.005642628,0.139664804,0.00312971,5375.246779,0.598563448,0,535.5057694,0,0.027455278,1.002634773,0.11971269,0.000447101,4723.636352,0.239425379,453.6501358,21301.22949,96633.05653,0.209082498,1.010239379,99.04229848,0.004694565,9736.9867,0.062670469
13,0,0,0,0,0,0,0,0,0,250.4946203,635.3818454,1591.597341,1.14044999,1.023872089,2.055067837,0.009389129,2986.496333,5.965682362,243.9422328,69481.87358,169495.6338,1.292509988,1.053330879,92.87709497,0.001341304,1889.454541,93.19632881,65.98983019,200.8146635,132.5172554,0.135164443,1.007600814,0.099760575,0.002682608,4644.458933,0.538707103,45.5420034,334.6911059,152.4250348,0.046462777,1.007563618,0.11971269,0.000894203,4959.81817,0.299281724,742.3452344,6989.465927,51885.96722,1.307293599,1.022563707,92.87709497,0.014307245,3317.8493,0.279382811
