Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
1,14.3532,12.7266998,434.0650024,27.3022003,2.91521,24.3868999,8.9733,18.2882004,19.4934998,8.9733,383.9259949,57.1404991,16.2313995,47.4305992,159.7689972,52.1240005,55.2727013,159.7689972,246.3370056,1525.619995,385,1000,1862,32
2,15.3872995,13.9441996,472.1289978,29.2339993,2.79917,26.4347992,9.5713701,17.7924995,20.9452991,9.4857397,268.2399902,36.6941986,12.0165005,38.7120018,100.9260025,39.9504013,46.4297981,100.9169998,194.5050049,1589.140015,214,881,840,20.17
3,15.9132996,13.9073,474.8150024,29.5886002,2.99547,26.5930996,13.9299002,16.7772999,21.5205994,10.0220003,250.7769928,28.4379997,13.8760004,24.2693005,79.8843002,45.4049988,53.9421997,76.8511963,198.5359955,1591.829956,192,951,1081,19.88
4,17.1193008,14.0432997,466.3850098,30.5813999,3.88555,26.6959,19.9328995,17.3995991,22.6278992,11.3338003,255.2149963,29.0083008,15.7025003,18.0270996,76.7273026,53.4132004,60.4379997,63.2397003,200.7949982,1611.27002,139,916,1964,32.18
5,16.0226994,13.8568001,406.131012,28.8194008,3.4714401,25.3479996,19.2724991,11.6604996,20.8612995,10.9598999,274.7929993,31.7024994,17.0331001,19.9160995,86.4215012,54.9421997,75.3223038,55.8512001,194.0800018,1604.290039,146,702,1770,46.92
6,15.2860003,13.5389996,403.4509888,27.9673996,3.1305799,24.8369007,18.4102001,10.2965002,20.1030998,10.2627001,323.1409912,37.0164986,18.8843002,20.0513,101,62.710701,88.3223038,62.7272987,206.5599976,1576.51001,171,923,1671,34.53
7,15.3373003,13.3764,415.177002,28.1208992,3.0962,25.0247002,18.5926991,10.2484999,20.2717991,10.1077995,372.7929993,42.8017006,20.0083008,21.6513004,117.4550018,69.9173965,105.3720016,70.0083008,290.2409973,1540.280029,159,948,1416,16.69
8,15.4180002,13.0351,426.9330139,28.0135994,3.2279,24.7856998,18.7765999,10.4196997,20.4871006,10.0265999,392.8429871,46.0909004,19.8843002,24.7208996,128.9340057,71.6280975,116.7850037,72.5206985,299.1489868,1519,150,865,1057,15.71
9,15.4849997,12.7743998,421.4110107,27.6658993,3.36744,24.2985001,19.0111008,10.7615995,20.4969006,10.1688004,426.7600098,50.2397003,20.7189999,26.2101002,140.2559967,75.3305969,130.8509979,77.6445999,334.9679871,1493.630005,218,846,993,21.05
10,17.1564999,13.0030003,415.7009888,29.2644005,4.6768899,24.5874996,20.7621994,12.3710003,22.0604992,11.8642998,456.6690063,51.3554001,23.2726994,22.4678993,140.6609955,82.7851028,129.2400055,87.2562027,346.822998,1495.849976,222,642,1085,25.95
11,17.2807999,13.2243996,413.8540039,29.3486996,4.5400701,24.8085995,20.9291,12.4532003,22.1487007,11.9940004,438.4790039,51.0331001,22.4710999,23.0592003,135.6029968,79.3802032,121.5289993,82.9008026,321.9039917,1485.300049,218,511,786,28.49
12,15.5647001,12.7875004,432.9419861,28.6930008,4.20542,24.4876003,10.3073997,20.6289005,20.7000999,10.2222996,374.5950012,60.9338989,12.6364002,54.8536987,165.8430023,43.0164986,45.388401,165.826004,294.8900146,1527.73999,441,759,1951,56.56
13,15.3367996,14.0258999,472.4840088,29.3966007,2.74192,26.6546993,9.4913597,18.4762001,20.8997993,9.4284296,272.0249939,42.9752007,10.9420996,47.9996986,113.1819992,37.3139992,41.1487999,113.1819992,194.6580048,1700.369995,231,692,1237,41.97
14,17.3544998,15.5057001,511.0950012,32.4752998,3.39045,29.0848007,12.2320995,18.0702991,23.3549995,10.9314003,184.9420013,27.7106991,6.0082598,42.6618996,71.1488037,24.4298,31.9916992,70.9669037,165.2050018,1689.949951,136,768,1008,25.37
15,15.6899004,15.3509998,507.6570129,30.5853996,1.68909,28.8962994,14.7854004,15.0585003,21.6986008,9.3796902,199.470993,23.5536995,8.9504099,28.2280998,65.6197968,32,42.8098984,60.9752007,215.2810059,1533.880005,216,1185,1119,22.72
16,15.8327999,15.5038004,505.1210022,30.5632,1.27792,29.2852993,19.9566002,13.8589001,21.7978001,9.5080299,197,25.2644997,10.7107,24.6399002,66.9751968,36.1570015,49.5372009,46.107399,204.151001,1559.780029,126,1045,1193,27.37
17,17.6996994,16.3087006,484.2330017,32.9696999,2.50688,30.4627991,21.2637005,13.9568996,23.3798008,11.5157003,178.6609955,26.5041008,9.3471098,34.0968018,67.0991974,29.7851009,51.9586983,31.0496006,151.5930023,1656.630005,107,679,555,10.22
18,16.3321991,15.6887999,457.95401,31.0858002,2.3653901,28.7203999,19.7581005,10.5683002,21.7835007,10.5403004,236.6029968,33.8181992,11.5207005,33.4654007,85.7520981,38.0992012,70.892601,38.107399,160.6959991,1685.410034,92,684,570,14.99
19,16.2546997,15.5425997,464.6319885,30.9519005,2.39692,28.5550003,19.7467995,10.3669004,21.7910004,10.3669004,277.9750061,37.8512001,12.0743999,33.3599014,100.0500031,43.5372009,86.1156998,43.5372009,212.5749969,1663.25,100,885,380,7.8
20,16.8903008,15.0693998,475.7650146,31.2138996,2.9625499,28.2514,20.3733997,10.8444004,22.5293999,10.8297997,287.0499878,38.9835014,12.1817999,34.6623993,105.9830017,45.9586983,92.0412979,45.9586983,254.1499939,1595.050049,137,824,250,5.58
21,16.7222996,14.4160995,462.3739929,30.3062,3.1927299,27.1135006,21,10.9394999,22.1863995,10.8354998,314.8349915,43.3058014,12.7602997,36.3809013,116.487999,50.0164986,103.413002,50.0413017,277.6289978,1561.550049,136,831,661,7.42
22,17.3806992,14.8825998,452.8099976,31.0468006,3.6308801,27.4158993,22.4845009,11.9733,22.7252007,11.6018,339.3800049,46.2727013,13.4049997,35.2246017,122.3639984,53.7355003,109.3720016,53.9090996,296.3880005,1550.77002,141,774,786,11.43
23,18.2728996,15.0662003,452.7579956,31.8565006,4.2253199,27.6310997,22.8701,12.6365995,23.5921001,12.4750996,323.1069946,45.4958992,12.8594999,34.7308006,115.802002,50.7769012,100.7269974,50.785099,300.3980103,1542.599976,171,639,720,15.21
