Id,SR,SR_LargeHerbivore,SR_LargeCarnivore,SR_LargeOmnivore,SR_MediumHerbivore,SR_MediumCarnivore,SR_MediumOmnivore,SR_SmallHerbivore,SR_SmallCarnivore,SR_SmallOmnivore
1,27,4,2,0,7,1,1,4,4,4
2,27,4,2,0,7,1,1,4,4,4
3,27,4,2,0,7,1,1,4,4,4
4,27,5,2,0,7,1,1,4,3,4
5,30,6,2,0,8,1,1,5,3,4
6,31,6,2,0,8,2,1,5,3,4
7,32,6,2,1,8,2,1,5,3,4
8,33,6,2,1,8,2,2,5,3,4
9,31,6,2,1,8,1,2,5,3,3
10,30,5,2,1,8,1,2,5,3,3
11,33,5,2,1,8,1,2,7,3,4
12,27,4,2,0,7,1,1,4,4,4
13,27,4,2,0,7,1,1,4,4,4
14,27,4,2,0,7,1,1,4,4,4
15,27,4,2,0,7,1,1,4,4,4
16,26,4,2,0,6,1,1,4,4,4
17,26,5,2,0,6,1,1,4,3,4
18,28,6,2,0,5,2,1,5,3,4
19,27,6,2,0,6,1,1,4,3,4
20,28,6,2,0,6,1,2,4,3,4
21,31,5,2,0,8,1,2,6,3,4
22,33,6,2,1,8,1,2,6,3,4
23,34,6,2,1,8,1,2,7,3,4
24,36,6,2,1,8,1,2,7,5,4
25,38,7,2,1,7,1,2,8,5,5
26,39,6,2,2,7,1,2,8,5,6
27,27,4,2,0,7,1,1,4,4,4
28,27,4,2,0,7,1,1,4,4,4
29,27,4,2,0,7,1,1,4,4,4
30,26,4,2,0,6,1,1,4,4,4
31,26,4,2,0,6,1,1,4,4,4
32,27,5,2,0,5,1,1,5,4,4
33,27,6,2,0,5,1,1,5,4,3
34,25,6,2,0,5,1,1,4,3,3
35,26,6,2,0,5,1,1,4,4,3
36,28,5,2,0,6,1,2,5,4,3
37,30,6,2,0,6,1,2,6,4,3
38,31,6,2,0,6,1,2,6,4,4
39,32,6,2,0,6,1,2,6,4,5
40,35,6,2,1,7,1,2,6,5,5
41,38,6,2,1,7,1,2,8,5,6
42,37,6,2,1,7,1,1,8,5,6
43,36,5,2,1,7,1,1,8,4,7
44,27,4,2,0,7,1,1,4,4,4
45,27,4,2,0,7,1,1,4,4,4
46,26,4,2,0,6,1,1,4,4,4
47,26,4,2,0,6,1,1,4,4,4
48,25,4,2,0,5,1,1,4,4,4
49,24,5,1,0,5,1,1,4,4,3
50,24,5,1,0,5,1,1,4,4,3
51,24,5,1,0,5,1,1,4,4,3
52,24,5,1,0,5,1,1,4,4,3
53,27,5,2,0,5,1,2,5,4,3
54,27,5,2,0,5,1,2,5,4,3
55,28,5,2,0,6,1,2,5,4,3
56,31,6,2,0,6,1,2,5,4,5
57,33,6,2,0,6,1,2,6,5,5
58,33,6,2,0,6,1,2,6,5,5
59,35,6,2,0,6,1,2,7,5,6
60,36,5,2,1,7,1,1,8,5,6
61,35,5,2,1,7,1,1,9,3,6
62,27,4,2,0,7,1,1,4,4,4
63,27,4,2,0,7,1,1,4,4,4
64,26,4,2,0,6,1,1,4,4,4
65,25,4,1,0,6,1,1,4,4,4
66,23,4,1,0,5,1,1,4,4,3
67,24,4,1,0,5,1,1,4,4,4
68,25,5,1,0,5,1,1,4,4,4
69,24,5,1,0,5,1,1,4,4,3
70,26,5,1,0,5,1,2,5,4,3
71,26,5,1,0,5,1,2,5,4,3
72,26,5,1,0,5,1,2,5,4,3
73,28,5,2,0,5,1,2,6,4,3
74,32,6,2,0,6,1,2,6,4,5
75,32,5,2,0,6,1,2,6,5,5
76,31,4,2,0,6,1,2,6,5,5
77,31,4,2,0,6,1,2,6,5,5
78,32,4,2,0,7,1,1,7,5,5
79,29,2,2,0,7,1,1,8,3,5
80,30,2,1,0,8,1,1,8,2,7
81,25,4,1,0,7,1,1,4,4,3
82,25,4,1,0,7,1,1,4,4,3
83,24,4,1,0,6,1,1,4,4,3
84,23,4,1,0,5,1,1,4,4,3
85,22,4,1,0,5,1,0,4,4,3
86,22,4,1,0,5,1,0,4,4,3
87,23,5,1,0,5,1,0,4,4,3
88,25,5,1,0,5,1,1,5,4,3
89,27,5,1,0,5,1,2,5,4,4
90,26,5,1,0,5,1,2,5,4,3
91,27,5,1,0,5,1,2,6,4,3
92,26,4,1,0,5,1,2,6,5,2
93,30,4,2,0,6,1,2,6,5,4
94,31,4,2,0,6,1,2,6,6,4
95,31,4,2,0,6,1,2,6,6,4
96,30,4,2,0,6,1,2,6,5,4
97,29,4,1,0,7,1,2,5,5,4
98,30,4,1,0,7,1,1,6,5,5
99,31,3,1,0,7,1,1,8,3,7
100,31,4,1,1,6,1,1,8,3,6
101,24,4,1,0,6,1,1,4,4,3
102,25,4,1,0,7,1,1,4,4,3
103,25,4,1,0,7,1,1,4,4,3
104,23,4,1,0,6,1,0,4,4,3
105,22,4,1,0,5,1,0,4,4,3
106,22,4,1,0,5,1,0,4,4,3
107,22,4,1,0,5,1,0,4,4,3
108,22,4,1,0,5,1,0,4,4,3
109,25,4,1,0,5,1,2,5,4,3
110,26,4,1,0,5,1,2,5,4,4
111,27,4,1,0,5,1,2,6,5,3
112,26,4,1,0,5,1,2,6,5,2
113,27,4,1,0,5,1,2,6,5,3
114,30,4,2,0,6,1,2,6,5,4
115,31,4,2,0,6,1,2,6,6,4
116,30,4,2,0,6,1,2,5,6,4
117,30,4,2,0,6,1,2,5,6,4
118,29,4,1,0,7,1,2,5,5,4
119,27,5,1,0,6,1,1,5,4,4
120,28,4,1,0,7,1,1,6,4,4
121,35,8,1,0,7,1,1,8,4,5
122,36,7,1,1,7,2,1,8,3,6
123,25,4,2,0,6,1,1,4,4,3
124,25,4,2,0,6,1,1,4,4,3
125,24,4,2,0,6,1,0,4,4,3
126,24,4,2,0,6,1,0,4,4,3
127,23,4,1,0,6,1,0,4,4,3
128,23,4,1,0,6,1,0,4,4,3
129,25,4,1,0,6,1,1,5,4,3
130,26,4,1,0,6,1,2,5,4,3
131,26,4,1,0,5,1,2,6,4,3
132,27,4,1,0,5,1,2,6,5,3
133,27,5,1,0,5,1,2,6,5,2
134,27,5,1,0,5,1,2,6,5,2
135,28,5,1,0,5,1,2,6,5,3
136,30,5,2,0,5,1,2,6,5,4
137,30,4,2,0,6,1,2,5,6,4
138,30,4,2,0,6,1,2,5,6,4
139,30,4,2,0,6,1,2,5,6,4
140,30,5,1,0,6,1,2,5,6,4
141,26,4,1,0,6,1,2,4,4,4
142,27,4,1,0,7,1,1,5,4,4
143,31,5,1,0,7,1,1,7,4,5
144,36,8,1,0,8,2,1,8,4,4
145,36,8,1,1,8,2,1,8,2,5
146,27,4,2,0,6,1,1,6,4,3
147,27,4,2,0,6,1,1,6,4,3
148,25,4,2,0,6,1,0,5,4,3
149,25,4,2,0,6,1,0,5,4,3
150,25,4,2,0,6,1,0,5,4,3
151,23,4,2,0,5,1,0,4,4,3
152,24,4,1,0,5,1,1,5,4,3
153,24,4,1,0,5,1,1,5,4,3
154,27,4,1,0,5,1,2,6,5,3
155,27,4,1,0,5,1,2,6,5,3
