Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,1860.0221,4443.5305,82650.6501,7.8328,1.03,32.6752,0.0113,2012.1228,50.4044,2397.4509,1828.1236,43828.3657,6.8621,1.0277,23.778,0.0211,2120.026,38.6288,174.301,240.8513,419.8061,3.2575,1.0178,0.1159,0.0437,2450.1385,10.5331,225.6985,1308.5615,2953.4042,0.0511,1.0256,0.1719,0.0003,25868.0094,0.422,54.4331,119.4322,65.0107,0.0043,1.0028,0.0039,0.0001,52789.5033,0.0117,3010.2394,1305.0223,39284.2938,9.0039,1.0224,32.6752,0.0766,2457.3027,0.9739
2,1601.3938,5114.7489,81907.2699,7.1045,1.0276,23.7962,0.0105,2047.2117,53.7153,1587.7543,2017.849,32038.4836,6.4153,1.0277,15.0475,0.0188,2159.0498,37.9411,215.2902,203.4738,438.0592,2.5001,1.0145,0.2501,0.0384,2602.896,7.8201,236.1804,1105.711,2611.4724,0.0603,1.0252,0.1719,0.0004,21017.8088,0.4806,114.0699,218.959,249.7663,0.0114,1.0056,0.0143,0.0002,18584.643,0.043,2480.1971,1462.6634,36276.9343,8.0458,1.0202,23.7962,0.0684,2558.4336,0.9298
3,2095.5429,4899.104,102662.8279,6.836,1.0297,40.4874,0.0112,2020.4223,54.6791,1627.6203,2469.5298,40194.5691,6.5244,1.0262,17.5508,0.0157,2259.7532,38.8853,99.6284,175.8499,175.1964,1.9841,1.0119,0.0469,0.034,2764.8332,5.9718,220.0637,635.4637,1398.4253,0.0662,1.0217,0.1237,0.0006,15431.1233,0.392,112.9616,300.532,339.4859,0.0176,1.013,0.0182,0.0002,19401.7331,0.0716,2973.7979,1620.1605,48180.2997,7.7141,1.0189,40.4874,0.0617,2692.2271,0.8926
4,2169.9422,8309.5533,180312.5049,6.408,1.0256,57.934,0.0073,2061.1567,61.0521,1150.7536,1440.1414,16572.4788,5.8392,1.0291,8.229,0.0224,2204.5252,32.2479,104.3239,177.8599,185.5504,2.1103,1.0122,0.0469,0.0357,2701.915,6.3443,177.5068,462.2468,820.5196,0.053,1.015,0.0625,0.0006,16907.5558,0.2722,92.7551,396.338,367.6238,0.0182,1.0156,0.0182,0.0002,18074.6699,0.0834,4031.1166,1510.3657,60884.6003,7.2144,1.0194,57.934,0.0662,2637.7768,0.8632
5,2109.4666,6458.0645,136230.7128,7.2656,1.0218,47.3501,0.0087,2072.3653,56.3229,927.8766,916.9232,8507.9155,6.0375,1.0296,4.0064,0.0319,2136.7935,29.2744,259.275,307.244,796.6068,3.9246,1.02,0.3582,0.0455,2315.2967,13.9794,116.5509,281.7715,328.4072,0.0307,1.0153,0.0221,0.0004,18835.3736,0.1185,97.4359,10868.3298,10589.6547,0.02,1.0532,0.3009,0,216480.6381,0.3048,3774.0729,1154.7841,43582.3946,8.6392,1.0237,47.3501,0.0866,2374.6196,0.9837
6,2218.1708,4291.133,95184.6578,7.1464,1.023,38.4503,0.0118,2095.2031,50.6011,1020.5538,1235.0693,12604.5467,6.3836,1.0291,4.5756,0.027,2122.9944,33.3707,370.9623,323.8281,1201.2801,4.0923,1.0217,0.8583,0.0458,2301.6175,14.843,388.4729,561.845,2182.6158,0.0896,1.0191,0.2423,0.0009,9508.4919,0.4884,152.6122,5521.896,8427.0878,0.0532,1.0514,0.3426,0.0001,11265.6756,0.6968,3088.2258,1167.6403,36059.3679,8.8825,1.0242,38.4503,0.0856,2303.2058,1.0547
7,2015.7133,2289.5237,46150.2343,6.9926,1.0281,23.4276,0.0188,2097.1698,42.953,2327.6596,1832.4232,42652.5749,6.6971,1.0284,23.1528,0.0216,2110.9522,39.5418,461.4304,394.0643,1818.3323,4.3817,1.022,0.7802,0.0435,2291.6277,17.1562,127.081,385.5882,490.0095,0.0661,1.0196,0.0313,0.0007,11025.0614,0.2865,83.1247,1114.7005,926.5919,0.0095,1.0436,0.0352,0.0001,29223.3859,0.0625,2593.2188,1180.9814,30625.4314,9.0735,1.025,23.4276,0.0847,2296.9853,1.0537
8,1245.7297,1641.5872,20449.7382,6.9824,1.0298,8.1287,0.0234,2064.8987,38.462,1712.917,2407.4866,41238.2469,7.0786,1.0283,19.459,0.0176,2072.1923,42.3642,509.5665,410.7644,2093.118,4.5058,1.0228,0.9547,0.0434,2269.3748,17.8257,335.285,587.1232,1968.5363,0.1189,1.0212,0.2423,0.0011,8458.1121,0.6421,182.3644,4195.6088,7651.2956,0.0562,1.0437,0.3426,0.0002,26371.1292,0.7059,1851.0118,1167.067,21602.5485,9.3709,1.0259,19.459,0.0857,2299.2879,1.1061
9,2483.5314,4829.8918,119951.8827,7.6709,1.0281,46.9763,0.0109,1995.2917,52.7554,974.6383,1381.6833,13466.4156,6.2713,1.0279,5.7413,0.0242,2177.3655,33.3993,187.4539,294.3238,551.7214,4.0119,1.0208,0.1342,0.0469,2303.1496,13.7919,59.8352,167.2051,100.0474,0.0078,1.0101,0.0052,0.0001,13561.4641,0.0234,101.2213,305.2156,308.9431,0.0073,1.0112,0.0143,0.0001,26794.8289,0.03,3646.1119,1216.6405,44360.0743,8.9846,1.0239,46.9763,0.0822,2273.6975,0.9813
10,1901.8447,11288.8628,214696.6361,7.1178,1.0202,59.3016,0.0054,1972.5878,61.2566,903.6896,922.9317,8340.4377,5.3069,1.0273,4.698,0.0276,2271.4564,25.5063,214.8985,280.7585,603.3457,3.8769,1.0202,0.2501,0.0469,2321.9931,13.1641,95.8993,320.8986,307.7395,0.0135,1.0227,0.0169,0.0002,21510.7186,0.0495,59.3171,557.3502,330.604,0.0049,1.0234,0.0143,0,30139.4372,0.0234,4499.9451,1247.7164,56146.551,8.16,1.0227,59.3016,0.0801,2332.4376,0.9213
