Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
1,19.9449005,7.32341,646.5469971,31.3150005,6.8348298,24.4801006,26.6618996,13.1676998,27.1702003,11.4371004,1623.540039,284.9590149,37.5186005,68.3421021,784.1279907,131.2480011,775.4089966,164.6049957,1041.290039,1136.25,838,330,1392,59.75
2,20.3033009,7.5872302,668.1220093,32.0568008,6.6807299,25.3761005,26.5356007,13.8304996,27.7436008,11.5383997,1564.979981,284.9830017,37.4544983,66.1099014,750.085022,134.6999969,662.4520264,188.923996,1004.309998,1159.170044,689,159,709,60.6
3,19.4402008,7.4384599,660.21698,31.0351009,6.0242701,25.0109005,25.0144005,12.6875,26.7912006,10.8000002,1607.939941,302.3349915,38.7355003,65.9558029,758.2109985,137.7250061,644.3950195,181.8569946,1006.059998,1148.420044,912,260,1736,98.53
4,19.6821003,7.6585398,666.0089722,31.4822006,5.9840899,25.4981003,23.4769993,12.8009996,27.0820007,10.9617004,1573.02002,286.6180115,40.7416992,64.995697,733.2269897,134.3880005,621.3989868,171.9320068,1013.51001,1134.530029,1094,196,1105,82.7
5,16.0583,11.4597998,441.3590088,25.6707993,2.0378399,23.6329002,20.7336006,10.1645002,20.7336006,10.0892,864.348999,165.4170074,12.5825996,79.4654007,460.8389893,44.6612015,460.8389893,44.7044983,793.7290039,1072.890015,984,1857,2279,22.03
6,16.0214996,11.2910004,449.8959961,25.7660999,1.91278,23.8533001,20.6394997,10.1638002,20.6425991,9.8942204,840.315979,169.2359924,11.0412998,84.3476028,465.8039856,37.6507988,453.8389893,37.7313995,764.9030151,1071.459961,850,1716,2465,22.79
7,14.5518999,10.8717003,445.7080078,24.0186996,1.01395,23.0046997,19.1765995,8.4854698,19.1788998,8.4854698,910.0869751,180.3800049,12.3677998,83.4075012,503.0289917,41.4277,496.1430054,41.4277,711.6160278,1020.380005,809,1955,1624,10.66
8,14.2194004,10.6331997,464.9179993,23.6487999,0.944496,22.7042999,19.1187,7.8845801,19.1187,7.8845801,993.1610107,187.4149933,13.6983004,82.4669037,543.585022,46.3139992,543.585022,46.3139992,752.3439941,1032.130005,762,1834,1701,13.07
9,17.5464001,7.9906902,601.9550171,28.6334,4.6255798,24.0079002,24.0513992,9.4786701,24.2752991,9.4786701,1248.050049,235.1360016,15.2230997,78.5164032,654.2249756,60.2831001,650.0679932,60.2831001,911.9240112,1033.800049,952,848,1709,31.6
10,17.3708992,7.8336601,651.1560059,29.1805992,4.0202799,25.1602993,23.9806004,8.8047199,24.7523003,8.8047199,1328.040039,238.9519958,24.3987999,71.8227005,655.0889893,85.3037033,643.4769897,85.3037033,954.2919922,1040.229981,937,653,1046,29.81
11,17.9888992,7.6802402,686.7979736,30.3125992,4.3271298,25.9855003,24.5860996,9.68818,25.8197994,9.0568104,1435.140015,255.7689972,31.3740005,67.5127029,687.7579956,115.663002,656.1450195,118.6259995,989.7670288,1070.920044,876,416,1123,37.05
12,18.5340004,7.6884999,710.7459717,31.2066002,4.5917401,26.6149006,24.8484993,11.1750002,26.6215992,9.3408203,1604.359985,296.2600098,39.6507988,66.6840973,772.0560303,143.3699951,663.6339722,168.6609955,992.5339966,1101.02002,729,245,968,59.25
13,18.5135002,7.39117,723.2839966,31.2670994,4.4928098,26.7742996,22.4062996,11.0993996,26.7535,9.1789703,1790.209961,340.9339905,46.8470993,66.9288025,873.6820068,164.7599945,683.9169922,197.1470032,964.4169922,1063.459961,944,364,1488,64.64
14,17.6970005,7.3035798,727.6339722,30.4473,3.5034499,26.9438992,21.5428009,10.2250004,26.0179996,8.31495,1656.040039,298.2399902,46.2995987,60.5632019,776.8140259,165.0169983,591.4110107,191.7250061,937.6989746,1042.920044,917,436,1732,66.71
15,19.6210003,7.8463502,649.7709961,31.4246998,5.9820199,25.4426003,23.2035007,12.8367004,26.8442993,11.0710001,1622.27002,290.901001,39.6259995,63.5536995,755.0189819,131.6759949,616.4459839,176.0209961,909.9470215,1003.429993,937,490,1430,55.93
16,19.7444992,7.9193501,640.7490234,31.5102005,6.1890101,25.3211994,23.2656002,13.0389996,26.9048996,11.3332005,1692.219971,292.7929993,34.9978981,65.1374969,795.4609985,117.8990021,649.8200073,176.8350067,915.0670166,1020.869995,885,401,1706,83.52
17,19.9398003,8.0609999,627.2260132,31.5449009,6.3111401,25.2336998,23.3546009,13.3416996,26.9664001,11.7235003,1764.859985,305.25,33.3759995,66.5842972,834.9169922,117.6070023,693.0410156,177.5099945,946.8950195,1054.579956,1083,410,1219,52.27
18,20.0163002,8.08148,607.3569946,31.3633995,6.5391998,24.8243008,23.2966995,15.0944004,26.7821999,12.0300999,1805.030029,321.4299927,33.5681992,64.9719009,840.9050293,131.2810059,687.315979,186.1900024,974.4710083,1077.930054,1015,329,1141,49.39
19,15.2454996,11.4320002,450.1239929,25.2138004,1.38411,23.8297005,20.0688,9.2691097,20.0725002,9.2385998,785.2360229,148.2070007,10.4545002,76.3123016,407.2189941,41.0455017,398.7730103,41.2190018,702.5629883,1070.959961,914,2109,1930,14.44
20,17.1044998,11.5929003,453.2990112,27.3507996,3.01141,24.3393002,21.8120003,11.1507998,21.8439007,11.0439997,770.2789917,163.727005,7.1487598,90.6359024,443.2330017,25.0289001,404.7909851,25.0496006,685.4609985,1077.109985,864,1938,2034,17.94
21,13.8509998,11.0320997,459.8320007,23.6275997,0.193182,23.4344006,18.7460003,7.6716199,18.7465992,7.6716199,874.2189941,178.3679962,9.0247898,88.1541977,492.1839905,30.6301994,490.1029968,30.6301994,673.9849854,1018.940002,795,2164,2324,12.55
22,13.1655998,10.4918003,479.1319885,22.7982006,-0.061438,22.8596992,18.3936005,6.7246599,18.3936005,6.7246599,957.3699951,188.3329926,10.5743999,85.9011993,526.197998,35.6632004,526.197998,35.6632004,704.3239746,1021.809998,705,2087,1926,9.15
23,13.6532001,9.0802298,540.3530273,24.0125999,0.633554,23.3791008,19.6355,6.3340902,19.6355,6.3340902,1146.670044,230.9689941,15.4153004,82.9490967,615.9500122,50.111599,615.9500122,50.111599,786.651001,992.5180054,780,1838,1761,15.56
24,15.6844997,8.0834398,611.2249756,26.9862003,2.6345799,24.3516998,22.4762993,7.4717002,22.5422993,7.4717002,1222.930054,240.6089935,18.0949993,77.3759003,627.2750244,61.607399,627.1530151,61.607399,855.7930298,989.9580078,780,1140,1532,26.36
25,15.2213001,7.8674102,650.302002,27.1018009,1.83111,25.2707005,21.6432991,6.62219,22.6359005,6.62219,1196.400024,226.2870026,18.25,73.0005035,594.9630127,63.789299,577.7930298,63.789299,873.3729858,974.4710083,859,989,1320,25.99
26,15.3528004,7.9215899,697.4940186,28.0865993,1.45876,26.6278,22.0884991,6.3365898,23.4570007,6.3365898,1221.540039,218.7070007,23.4897003,67.8049011,589.0410156,78.2520981,548.585022,78.2520981,883.5100098,960.8590088,899,889,1253,19.49
27,15.8892002,7.8015699,729.7210083,29.1429996,1.75212,27.3908997,22.9256001,6.5343299,24.4141998,6.5307498,1263.01001,217.9400024,28.8036995,62.9309998,583.6569824,101.7050018,533.0620117,101.7050018,894.3430176,963.117981,877,721,1458,31.11
28,16.6604996,7.8403502,747.9290161,30.2052002,2.29268,27.9125996,21.9288998,7.4513302,25.3659,7.05618,1389.76001,239.3589935,36.9401016,59.889801,633.6199951,140.2870026,539.8569946,141.3179932,932.1859741,1006.650024,780,468,1889,49.71
29,15.5207005,7.4291401,749.5180054,28.8148994,1.27552,27.5393009,19.5231991,7.5272598,24.2518005,5.92697,1586.670044,274.7709961,45.3532982,57.8572006,730.4359741,173.3329926,568.6489868,180.7070007,911.2219849,991.5839844,745,538,1846,62.86
30,16.7950993,7.1880798,779.1610107,30.6748009,2.2576301,28.4172001,20.8803005,8.7973604,25.9438992,6.8723302,1535.890015,260.6960144,47.2706985,54.3536987,697.8330078,183.9519958,495.7170105,194.3840027,888.4699707,976.6430054,696,482,1762,61.99
