Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,997.5207521,1439.173319,14356.05252,14.88674385,1.039840803,60.515286,0.044589778,700.2402,64.17241946,801.8876693,220.9448071,1771.729164,12.70342297,1.046766521,11.83842867,0.130186228,808.5949,28.76397107,168.4413644,56.39600729,94.99420414,4.897443269,1.039390147,0.341058514,0.121825645,1038.2083,6.870479947,20.20305089,108.3734279,21.89473879,0.038371193,1.02147046,0.049309665,0.000796246,28600.0236,0.086291913,81.82202404,33.54415625,27.44650759,0.079300466,1.019454556,0.03287311,0.003184984,5182.2981,0.106837607,1698.243168,332.6869431,5649.83328,16.30264087,1.042393092,60.515286,0.300582882,1005.5465,0.840463743
2,867.4075665,1958.204629,16985.61512,16.52007764,1.040130542,60.50706772,0.031849842,692.0181,62.36850756,402.5688529,93.76583283,377.4720376,11.18520277,1.046846138,2.198389218,0.192691543,810.8506,18.06788297,251.6332723,88.77606299,223.3901123,11.08287958,1.048629228,1.142340565,0.188710312,826.3791,16.75295858,148.2760537,242.0809039,358.9480111,0.324876101,1.027774093,0.513642341,0.004379353,3483.7695,1.060157791,184.7323509,488.5405321,902.4924099,0.662542599,1.04651476,0.961538462,0.003583107,2845.2948,1.750493097,1971.268953,237.4089244,4679.968417,19.88778934,1.046936083,60.50706772,0.421214157,853.9187,1.021917996
3,285.8417172,145.7079848,416.4942059,13.56805385,1.051455895,2.523011177,0.173183515,741.1395,25.23422091,1288.244803,345.5677656,4451.758782,13.63968008,1.040831583,30.22682446,0.115853799,755.9592,40.03533859,542.3087964,342.4714099,1857.252581,16.0302054,1.054073213,8.177186062,0.101123248,778.3237,34.63182117,0,41.28511539,0,0.008953278,1.034513382,0.016436555,0.000398123,0,0.016436555,56.56854249,25.80319712,14.59649253,0.076742386,1.022807949,0.020545694,0.003184984,5551.1358,0.082182774,1025.751602,253.9723377,2605.125322,21.6618175,1.048753163,30.22682446,0.393743669,794.0113,1.088459299
4,417.0213693,96.18917962,401.129434,5.22104033,1.039619419,1.951840894,0.095947648,954.0639,9.229125575,812.4228122,2526.276349,20524.04536,9.815351175,1.045615324,69.37047995,0.028664858,710.6595,72.41535174,766.1642374,168.0955165,1287.887732,9.07095003,1.046386192,7.856673241,0.095947648,1008.1409,16.12836949,149.9424861,180.3766351,270.461211,0.473244714,1.018415822,0.493096647,0.008360583,2998.8038,1.508053912,79.92040316,30.10372997,24.05902236,0.644636043,1.030668343,0.057527942,0.023887381,1662.6071,0.719099277,1759.657227,395.5569166,6960.445869,12.61261115,1.041320454,69.37047995,0.252808119,1081.5593,0.846650806
5,538.7162759,178.8289661,963.3807466,4.520126538,1.043594384,4.466633794,0.056135346,1006.6752,10.0386259,530.8153423,6697.798159,35552.94023,7.610286616,1.048276134,76.26150559,0.011545568,683.6151,77.32988166,130.3691853,65.87668412,85.88289637,2.027278031,1.040307091,0.176692965,0.045784148,1196.5258,3.016107824,412.3048945,679.2930559,2800.758517,1.259854171,1.030148958,5.847304405,0.010749322,2531.857,7.301939513,197.2664755,58.69575748,115.787052,1.713913288,1.038011983,0.35338593,0.039414179,1166.494,2.313445102,1552.182644,611.1402482,9486.012864,8.565729322,1.040776982,76.26150559,0.163628562,1175.6924,0.813396453
6,658.6121126,201.9781966,1330.252868,4.301410738,1.0413862,5.871959237,0.048969132,1054.6758,9.89069691,619.4139914,5602.337228,34701.66064,5.801724385,1.038099005,86.29602235,0.015526798,696.4134,86.98635766,174.0123646,53.08086264,92.36726422,0.828817769,1.034132736,0.250657462,0.022294889,2581.2088,1.183431953,112.0835487,191.6808929,214.8427469,0.181623647,1.030030517,0.230111769,0.002786861,3982.111,0.534188034,148.7262899,98.05214904,145.8293234,0.960558865,1.059245686,0.242439185,0.014332429,1739.9618,1.405325444,1396.560114,962.3702759,13440.07942,6.037067702,1.04149753,86.29602235,0.103910109,1501.7101,0.490495505
7,187.1827578,85.74600888,160.5017441,2.891908914,1.042083929,0.382149901,0.056931592,1171.1121,4.881656805,456.2072185,10264.26607,46826.32273,6.48984778,1.034190149,85.44953978,0.008360583,722.7728,85.81525312,122.7203925,50.06490454,61.43984733,2.297155422,1.039256379,0.176692965,0.061310945,1292.9905,3.069526627,137.9300169,159.1197156,219.4738505,0.562777498,1.026856921,0.447896121,0.009554953,3500.4751,1.520381328,522.5289869,197.3084473,1030.993831,2.277969826,1.044387159,3.192800789,0.023887381,1317.1821,4.713182117,1713.820359,624.8224926,10708.33509,7.25982972,1.040023067,85.44953978,0.160045455,1355.249,0.593241631
8,361.0861465,199.9068745,721.8360297,6.030672503,1.046070752,3.02843524,0.068079037,1026.7463,13.60946746,748.7615542,3356.373109,25131.23146,7.630751252,1.036031212,76.2204142,0.023091135,717.9457,77.50246548,136.6748636,60.50948209,82.70125213,4.56617197,1.043955085,0.238330046,0.104308232,1061.3848,6.311637081,54.38407922,115.9159009,63.03979537,0.49626743,1.020742018,0.106837607,0.010351199,4086.455,1.199868508,132.4320264,138.3051365,183.160295,0.855677604,1.058958906,0.221893491,0.009953076,2687.2757,1.376561473,1775.730553,463.4292288,8229.254409,9.789770379,1.043353148,76.2204142,0.215782678,1233.8137,0.755390638
9,594.7440942,237.5888585,1413.045704,7.949232154,1.046120987,7.482741617,0.082411466,1004.9814,19.58004602,888.5407035,2185.002297,19414.63478,8.694912339,1.037324556,70.43885602,0.033044211,761.2335,72.20167653,150.6610359,60.27237364,90.80698249,3.638868138,1.042787443,0.304076266,0.084402081,1084.76,5.087113741,236.8620956,314.3298558,744.5282834,0.666379719,1.022527659,1.421761999,0.008758706,3163.3292,2.753122945,89.34392512,37.98230616,33.93488317,0.290342027,1.027151507,0.053418803,0.009953076,3143.5051,0.378040763,1660.507923,457.5202951,7597.160748,10.61986719,1.041694566,70.43885602,0.218569539,1182.8116,0.825958261
10,592.3720011,356.7107693,2113.054722,14.78058355,1.046454469,9.767422748,0.111474446,773.4362,39.76413544,1238.40648,500.9410251,6203.686114,14.54779831,1.048659526,37.39316239,0.091568295,756.4669,45.87031558,211.4656015,75.35255326,159.34473,8.419918789,1.04276733,0.928665352,0.170794776,849.6441,12.86982249,151.279756,363.5383772,549.9599701,0.262203152,1.02059446,0.620479947,0.003583107,4855.0599,1.302596976,106.3675037,40.42500882,42.99907275,0.168833249,1.041626913,0.06574622,0.004777476,5209.9931,0.19312952,1240.555097,261.6444188,3245.843172,19.08966853,1.045032292,37.39316239,0.382198101,897.1482,1.056679037
11,633.1971821,764.338639,4839.770724,13.79060677,1.047371882,21.17439185,0.072856513,714.1218,55.68704799,657.820869,251.5593048,1654.809605,12.22634114,1.047253235,10.515286,0.117446291,805.3234,29.54470743,197.430313,81.03502911,159.9877116,9.343385501,1.047332921,0.673898751,0.173979761,834.4511,14.09845496,136.1571721,481.6596795,655.8141987,0.156042852,1.040872663,0.493096647,0.001194369,5199.0731,0.575279421,83.26399131,26.3766015,21.96221118,0.092090863,1.029262569,0.028763971,0.003583107,3769.443,0.094510191,869.61354,270.9586214,2356.292859,17.80423356,1.047118906,21.17439185,0.369060041,844.0475,0.998691747
12,456.1965383,285.3039657,1301.546815,11.47426575,1.04810589,5.300788955,0.103511986,798.2932,29.53238001,1188.070687,673.8022746,8005.247311,10.80532795,1.04646018,44.83481262,0.078828358,769.7637,53.11472715,301.2186161,124.4624802,374.9041605,8.998044763,1.046980805,1.282051282,0.128593736,830.3741,16.00509533,144.0507891,218.9585584,315.4115312,0.381153851,1.029225494,0.493096647,0.005573722,2974.1571,1.220414201,112.964653,24.61228033,27.80317707,0.122787818,1.024412249,0.041091387,0.005175599,8223.2911,0.1273833,1298.464992,310.864656,4036.46873,15.89079007,1.046544509,44.83481262,0.321683402,961.2887,1.051784411
13,559.0909416,227.6024788,1272.504842,14.50686904,1.049140483,7.104700855,0.146111149,757.1172,33.2552597,1200.328518,681.4911061,8180.132093,14.79209491,1.049775035,43.71712689,0.071662144,726.7832,48.83711374,298.3198861,93.2528673,278.1918475,10.65440126,1.047545156,1.96416831,0.181942221,840.6582,16.96663379,73.91188051,204.5489808,151.1859983,0.308248584,1.033539873,0.234220907,0.004379353,5396.4951,0.895792242,59.26547641,22.70681346,13.45730118,0.043487352,1.020438132,0.016436555,0.001990615,13307.2641,0.045200526,1430.84968,246.2535706,3523.518427,20.15255057,1.048228754,43.71712689,0.406085482,900.7466,1.062826411
14,1044.08202,328.5013923,3429.823971,15.03511247,1.045360365,22.98241289,0.115455676,753.6554,37.92735043,642.1427138,176.1284259,1130.995854,11.91553447,1.047223007,7.05539119,0.166415423,788.5642,29.31048652,508.7894996,279.8017675,1423.602013,16.62112178,1.048586267,5.789776463,0.116650045,750.3168,32.63888889,0,0,0,0,0,0,0,0,0,49.29127336,77.40959135,38.15617328,0.071626227,1.033255964,0.049309665,0.001592492,8162.9171,0.123274162,849.8341786,249.928997,2123.982039,21.82169747,1.047027386,22.98241289,0.400113637,796.691,1.101114335
15,808.9229344,617.973539,4998.929686,15.14510989,1.043242668,22.79750164,0.078828358,757.0581,48.71383958,513.6140517,177.0659274,909.4354841,10.40243043,1.044902762,5.239151874,0.13575995,835.0614,24.03846154,513.9241603,150.6311693,774.1299722,15.81404768,1.055835331,6.225345168,0.179553483,727.3091,27.04635108,0,402.529875,0,0.038371193,1.024082177,0.16025641,0.000398123,0,0.16025641,0,103.2127885,0,0.025580795,1.066171873,0.041091387,0.000398123,0,0.041091387,930.9901073,253.2042762,2357.306763,20.71276999,1.049542216,22.79750164,0.394938038,770.3736,1.060206514
16,588.9805345,318.8783674,1878.131513,16.92937036,1.048912696,11.47271532,0.125408752,707.8213,39.99013807,518.5098436,230.4521605,1194.917137,15.92020798,1.050688599,5.465154504,0.145713026,726.2204,33.57988166,267.8400268,147.8384963,395.9706682,15.6989341,1.055900584,1.791584484,0.178359114,744.6915,26.3683432,0,154.8191827,0,0.016627517,1.035840877,0.061637081,0.000398123,0,0.061637081,0,0,0,0,0,0,0,0,0,552.7396502,222.2819841,1228.640661,24.28256998,1.052246751,11.47271532,0.449879015,728.4164,1.089010269
17,454.0734537,139.4031449,632.9926747,6.845420835,1.047850186,3.542077581,0.09355891,1034.0618,13.04240631,655.1130008,4264.095611,27934.64471,13.3186411,1.036830871,73.79191321,0.017517413,674.3067,74.69592373,237.197709,97.35371664,230.9207855,6.537172251,1.049323277,0.887573964,0.105900724,914.5229,10.30982906,67.88326461,153.7870548,104.3956733,0.483477032,1.027416608,0.172583826,0.00796246,2889.1785,1.22452334,77.69430752,23.42136354,18.19706621,0.711146111,1.023071507,0.041091387,0.031053596,1287.4341,0.727317554,1873.121581,390.6355241,7317.078305,13.94792866,1.044064158,73.79191321,0.255993103,1048.4301,0.807558319
