Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
1,16.3626995,15.7472,513.3909912,31.5883999,2.1849301,29.4034996,13.5890999,16.7474003,22.4265995,9.9507103,196.3309937,26.2644997,8.4214897,35.1716995,69.2416992,30.0723,38.0455017,66.4854965,201.0209961,1601.76001,168,912,1588,47.12
2,15.1160002,16.3773994,550.8779907,30.8547001,-0.458942,31.3136997,19.0468006,9.9620705,21.6742001,8.1745596,202.4360046,34.3078003,9.3863602,41.0864983,81.3511963,31.0557995,60.9627991,34.3492012,194.7519989,1590.540039,124,1299,1260,19.04
3,14.5703001,15.9467001,533.8560181,29.8684998,-0.96724,30.8358002,19.4694004,7.9683099,20.9032001,7.7644801,237.6300049,42.4441986,8.9524803,50.7821007,101.3079987,29.1921005,81.1445999,29.3325996,206.1459961,1643.890015,113,1109,1400,32.42
4,15.0292997,16.0072994,524.3270264,30.2618008,-0.454455,30.7161999,19.6469994,8.52738,21.2271996,8.3028898,268.8080139,44.5413017,9.3491697,51.2272987,113.8349991,31.3698006,95.1632004,31.5123997,246.6360016,1611.51001,150,1037,1046,18.74
5,14.0011997,15.8292999,532.8530273,29.0359993,-1.42444,30.4603996,19.6919003,7.9899802,20.2176991,7.04038,340.9190063,55.4277,12.2128,49.7812996,144.1260071,42.5558014,121.7580032,43.3223,300.776001,1536.939941,196,1115,1971,32.88
6,14.4295998,15.6671,485.6629944,28.7964993,-0.25705,29.0534992,19.7663994,8.3963499,20.0991001,8.0977497,400.5020142,63.5433998,13.0661001,52.5821991,171.8619995,45.9544983,153.0679932,46.2831001,359.5939941,1478.51001,329,1220,1760,26.92
7,17.0888004,16.9449005,541.789978,32.9203987,1.6447901,31.2756004,20.3941002,14.1365004,23.4843998,10.2571001,174.2929993,25.8057995,8.6384296,33.2018013,64.5702972,29.5475006,43.7458992,37.5950012,182.5630035,1707.98999,128,1063,1124,12.09
8,16.9552994,16.6396008,572.9719849,32.843399,0.799851,32.043499,21.5669003,11.2306004,23.7469997,9.7227201,190.3820038,35.2809982,6.9173598,52.9953003,84.7809982,21.8843002,64.685997,23.7644997,187.7769928,1700.880005,117,1182,582,7.94
9,16.2215004,16.5438004,574.3889771,32.0505981,-0.28619,32.3367996,21.6847992,9.7581196,22.9729996,8.8618803,225.8430023,43.2583008,6.28719,60.2408981,104.6920013,22.0806007,82.9648972,22.6383991,226.701004,1629.479981,140,1353,556,7.13
10,15.9477997,16.593399,583.7689819,31.8866997,-1.1174001,33.0041008,20.7005005,8.5288401,22.7327995,8.3423004,257.697998,48.3429985,6.60744,61.3135986,120.6139984,25.2686005,95.9751968,25.3698006,259.9949951,1610.839966,168,1291,725,6.98
11,15.2482996,16.3243999,602.4190063,31.0711002,-1.9766999,33.0477982,21.3437996,7.3905501,22.1144009,7.1715798,318.7999878,57.9586983,8.8718996,59.2806015,147.1759949,31.9668999,117.5790024,32.0784988,328.0910034,1524.75,221,1466,1183,9.72
12,14.8465996,16.3470001,625.5209961,30.7621002,-3.1810601,33.9431992,21.1851997,6.2189698,21.7252007,6.2046199,371.5849915,64.9627991,10.2707005,58.5166016,171.0930023,35.0206985,142.1049957,35.0206985,377.5830078,1506.109985,282,1427,1244,12.76
13,15.0011997,16.1352997,552.7750244,30.2660999,-1.36624,31.6324005,20.6636009,7.7453899,21.3278008,7.7453899,458.8179932,77.3367996,12.2623997,57.4730988,209.2169952,45.2252007,181.5740051,45.2252007,463.4400024,1445.609985,382,1537,1059,12.05
14,14.3800001,15.8844995,525.5949707,28.8349991,-1.91152,30.7465992,19.7765007,7.6875901,20.2537003,7.3428898,561.3930054,96.4483032,14.4710999,56.2742004,247.3619995,53.4318008,227.6920013,53.8306007,534.4370117,1362.579956,534,1612,1612,16.03
15,18.2539005,17.4978008,557.3120117,34.3768005,2.0738299,32.3030014,23.5321007,11.9976997,24.8024998,11.1680002,170.6959991,29.3904991,5.1405001,50.8540001,74.1177979,18.4463005,58.2024994,19.7148991,158.3860016,1818.849976,68,950,218,4.11
