Id,SR
1,27
2,26
3,28
4,29
5,33
6,36
7,26
8,25
9,25
10,27
11,28
12,35
13,34
14,37
15,26
16,23
17,27
18,29
19,29
20,31
21,31
22,32
23,35
24,28
25,27
26,26
27,29
28,30
29,30
30,32
31,30
32,31
33,37
34,40
35,28
36,29
37,30
38,30
39,30
40,30
41,35
42,33
43,33
44,33
45,44
46,25
47,26
48,32
49,33
50,32
51,30
52,29
53,35
54,36
55,35
56,38
57,41
58,44
59,51
60,26
61,25
62,30
63,31
64,31
65,32
66,31
67,30
68,38
69,41
70,39
71,40
72,40
73,41
74,53
75,27
76,28
77,29
78,32
79,32
80,30
81,32
82,33
83,38
84,46
85,51
86,43
87,42
88,45
89,59
90,31
91,31
92,29
93,31
94,32
95,30
96,30
97,31
98,32
99,38
100,49
101,51
102,50
103,46
104,52
105,64
106,34
107,33
108,31
109,30
110,30
111,30
112,30
113,31
114,32
115,38
116,41
117,49
118,51
119,50
120,55
121,66
122,61
123,51
124,33
125,34
126,34
127,30
128,32
129,30
130,31
131,32
132,31
133,33
134,41
135,44
136,50
137,53
138,59
139,65
140,63
141,51
142,46
143,34
144,35
145,33
146,31
147,32
148,31
149,33
150,33
151,33
152,35
153,40
154,46
155,47
156,58
157,62
158,65
159,63
160,59
161,52
162,36
163,36
164,35
165,33
166,32
167,32
168,35
169,43
170,44
171,42
172,38
173,43
174,47
175,50
176,52
177,54
178,56
179,60
180,63
181,37
182,39
183,36
184,34
185,32
186,37
187,40
188,52
189,54
190,55
191,48
192,48
193,52
194,48
195,49
196,48
197,50
198,55
199,60
200,40
201,41
202,42
203,40
204,37
205,39
206,41
207,46
208,54
209,54
210,54
211,47
212,53
213,54
214,50
215,46
216,46
217,45
218,47
219,51
220,43
221,43
222,43
223,40
224,40
225,44
226,47
227,48
228,51
229,52
230,56
231,58
232,60
233,56
234,53
235,51
236,47
237,48
238,49
239,51
240,51
241,52
242,41
243,44
244,41
245,41
246,44
247,46
248,46
249,47
250,48
251,49
252,51
253,57
254,61
255,61
256,56
257,54
258,51
259,50
260,50
261,47
262,47
263,51
264,51
265,48
266,45
267,48
268,45
269,44
270,47
271,45
272,45
273,44
274,46
275,47
276,51
277,52
278,53
279,54
280,54
281,53
282,55
283,50
284,51
285,46
286,46
287,51
288,51
289,49
290,48
291,44
292,49
293,47
294,45
295,44
296,42
297,42
298,43
299,44
300,48
301,51
302,50
303,51
304,52
305,55
306,54
307,53
308,53
309,51
310,47
311,45
312,47
313,51
314,46
315,48
316,44
317,46
318,48
319,44
320,41
321,42
322,42
323,41
324,43
325,43
326,47
327,49
328,50
329,51
330,53
331,53
332,54
333,50
334,50
335,50
336,50
337,44
338,46
339,52
340,50
341,49
342,45
343,45
344,44
345,45
346,41
347,40
348,39
349,41
350,41
351,43
352,44
353,45
354,46
355,49
356,52
357,53
358,53
359,52
360,49
361,47
362,52
363,51
364,52
365,51
366,52
367,50
368,50
369,47
370,43
371,44
372,38
373,39
374,41
375,39
376,40
377,44
378,42
379,46
380,45
381,47
382,50
383,49
384,48
385,47
386,47
387,51
388,54
389,54
390,53
391,53
392,54
393,51
394,48
395,45
396,46
397,46
398,38
399,40
400,47
401,45
402,42
403,42
404,43
405,44
406,46
407,48
408,49
409,48
410,50
411,50
412,49
413,50
414,53
415,53
416,52
417,54
418,52
419,54
420,51
421,48
422,49
423,48
424,39
425,47
426,49
427,46
428,39
429,38
430,38
431,45
432,46
433,48
434,50
435,49
436,50
437,49
438,48
439,45
440,50
441,50
442,49
443,54
444,52
445,54
446,50
447,49
448,49
449,49
450,38
451,43
452,44
453,40
454,39
455,40
456,40
457,44
458,45
459,49
460,51
461,50
462,49
463,49
464,49
465,48
466,48
467,46
468,47
469,52
470,55
471,58
472,56
473,53
474,51
475,37
476,39
477,39
478,40
479,39
480,40
481,41
482,44
483,43
484,44
485,48
486,48
487,50
488,50
489,49
490,47
491,49
492,52
493,52
494,55
495,59
496,58
497,61
498,60
499,56
500,36
501,35
502,40
503,39
504,43
505,41
506,42
507,43
508,43
509,43
510,43
511,46
512,49
513,48
514,49
515,53
516,54
517,60
518,61
519,62
520,60
521,61
522,65
523,62
524,63
525,36
526,36
527,42
528,41
529,41
530,42
531,41
532,43
533,45
534,43
535,38
536,39
537,39
538,42
539,46
540,47
541,49
542,50
543,57
544,62
545,60
546,63
547,65
548,69
549,70
550,64
551,40
552,39
553,44
554,40
555,41
556,42
557,43
558,43
559,44
560,44
561,43
562,42
563,42
564,44
565,47
566,47
567,48
568,58
569,58
570,58
571,57
572,59
573,63
574,64
575,63
576,63
577,43
578,43
579,43
580,42
581,40
582,40
583,44
584,43
585,44
586,47
587,50
588,49
589,45
590,46
591,51
592,54
593,54
594,56
595,58
596,56
597,57
598,60
599,63
600,65
601,64
602,64
603,49
604,47
605,44
606,41
607,41
608,43
609,44
610,47
611,46
612,39
613,47
614,48
615,45
616,45
617,53
618,56
619,59
620,68
621,57
622,54
623,56
624,58
625,63
626,65
627,68
628,66
629,67
630,40
631,41
632,46
633,49
634,44
635,46
636,46
637,43
638,42
639,42
640,45
641,45
642,46
643,49
644,53
645,57
646,60
647,72
648,57
649,57
650,56
651,58
652,61
653,65
654,71
655,71
656,69
657,41
658,42
659,42
660,45
661,50
662,44
663,39
664,38
665,39
666,41
667,40
668,39
669,39
670,40
671,49
672,48
673,54
674,65
675,72
676,62
677,59
678,58
679,59
680,59
681,67
682,71
683,67
684,66
685,64
686,40
687,36
688,39
689,41
690,43
691,48
692,37
693,37
694,36
695,36
696,37
697,37
698,38
699,38
700,39
701,47
702,46
703,50
704,62
705,71
706,61
707,63
708,58
709,52
710,58
711,69
712,71
713,65
714,62
715,61
716,40
717,38
718,41
719,43
720,43
721,44
722,49
723,46
724,35
725,35
726,35
727,36
728,37
729,37
730,38
731,38
732,44
733,45
734,49
735,61
736,73
737,70
738,62
739,57
740,56
741,69
742,75
743,73
744,68
745,62
746,47
747,43
748,39
749,44
750,45
751,41
752,44
753,48
754,41
755,35
756,35
757,34
758,36
759,36
760,37
761,36
762,44
763,48
764,49
765,60
766,70
767,73
768,58
769,55
770,46
771,61
772,68
773,75
774,72
775,71
776,62
777,55
778,51
779,40
780,42
781,41
782,41
783,42
784,42
785,42
786,43
787,34
788,34
789,34
790,35
791,36
792,44
793,45
794,46
795,47
796,47
797,48
798,66
799,71
800,61
801,51
802,51
803,61
804,69
805,73
806,74
807,69
808,59
809,47
810,38
811,37
812,41
813,41
814,40
815,40
816,42
817,42
818,41
819,43
820,42
821,43
822,43
823,37
824,46
825,45
826,43
827,47
828,47
829,47
830,50
831,62
832,69
833,64
834,57
835,54
836,59
837,68
838,67
839,61
840,60
841,51
842,42
843,37
844,33
845,41
846,41
847,41
848,40
849,40
850,41
