Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,103.5098339,178.5019231,184.7670441,0.16957207,1.009049398,0.249199003,0.003190989,4297.498511,0.569597722,88.75790532,233.2041254,206.9870968,0.840323815,1.018607198,0.320398718,0.012365083,3606.255411,2.883588466,141.3113863,114776.7366,162192.5976,1.816305287,1.054602118,91.52723389,0.000797747,1889.454541,91.56283375,189.1508954,833.0089746,1575.643934,0.866701693,1.025380261,2.100391598,0.005983105,4607.352035,4.983980064,0,0,0,0,0,0,0,0,0,684.0424664,4476.891983,30623.84234,1.846451433,1.020341544,91.52723389,0.022336925,3911.841,0.361867178
2,0,0,0,0,0,0,0,0,0,63.2455532,178.5019231,112.8945288,0.12812112,1.009533079,0.14239943,0.002393242,8914.830232,0.427198291,199.1907072,58794.07093,117112.3257,0.923225717,1.027915281,93.52082592,0.001595495,2219.718355,93.80562478,187.0345368,1204.887981,2253.556654,0.795104597,1.029282032,3.097187611,0.004786484,4258.480345,5.767176931,0,0,0,0,0,0,0,0,0,437.461308,11395.72505,49851.88784,0.923225717,1.023647453,93.52082592,0.00877522,5157.71,0.247827746
3,0,0,0,0,0,0,0,0,0,0,178.5019231,0,0.022609609,1.008182253,0.071199715,0.000398874,0,0.071199715,0,244726.1366,0,0.68205655,1.057034215,97.61480954,0.000398874,0,97.61480954,121.0115159,252.2309783,305.2285305,0.65944694,1.015103566,0.569597722,0.009174094,3059.217566,2.313990744,0,0,0,0,0,0,0,0,0,487.5858635,10028.23804,48896.27105,0.68205655,1.01650394,97.61480954,0.009971841,3059.2176,0.115874753
4,73.04939343,256.5965145,187.4421974,0.203486484,1.018485543,0.213599146,0.003190989,3216.33202,0.818796725,93.24441521,226.5601332,211.2546713,0.331607604,1.01565012,0.320398718,0.005185358,4663.653586,1.174795301,141.0984764,117275.7635,165474.3155,1.454551537,1.05581232,93.4496262,0.000797747,1889.454541,93.55642577,155.4563176,446.2548078,693.7312911,0.926993985,1.02410232,1.317194731,0.009971841,3706.332505,4.4499822,0,0,0,0,0,0,0,0,0,646.5498578,5223.040646,33769.56187,1.458319805,1.022198303,93.4496262,0.019145936,3808.237,0.292361857
5,129.861565,876.2821681,1137.953737,0.670751745,1.035560459,1.388394446,0.00438761,2404.209568,3.844784621,109.5445115,178.5019231,195.5390597,0.448423919,1.007717008,0.391598434,0.008376347,3446.188601,1.495194019,464.7566284,6712.416067,31196.3986,4.921358309,1.027084022,61.08935564,0.009572968,2172.078037,64.25774297,453.1554464,3048.812847,13815.86147,3.802182645,1.025570469,27.66108936,0.009971841,2343.012595,30.40227839,0,0,0,0,0,0,0,0,0,599.2995678,3095.135198,18549.13186,4.921358309,1.022746919,61.08935564,0.032308766,2586.6846,0.834299141
6,192.880689,5845.937982,11275.68546,1.198309297,1.051750129,9.077963688,0.001595495,1945.209505,9.327162691,108.9456128,308.3215036,335.9027515,0.693361354,1.017703199,0.569597722,0.00877522,3499.41831,2.705589178,392.814026,10287.34767,40410.14457,2.909103074,1.038286751,70.59451762,0.0075786,1977.597547,77.96368815,321.3817993,1666.017949,5354.278462,1.115407396,1.022018957,8.365966536,0.005983105,3286.095335,9.967960128,0,89.25096156,0,0.015073073,1,0.035599858,0.000398874,0,0.035599858,556.0786922,4109.933623,22854.46514,2.965627098,1.027118091,70.59451762,0.024331293,2860.5637,0.745670504
7,109.5931871,557.8185098,611.3310833,0.146962461,1.034856399,0.569597722,0.001595495,2280.773389,0.88999644,139.140217,446.2548078,620.9199082,0.433350847,1.02436279,0.818796725,0.00438761,2758.578405,1.957992168,0,231070.7395,0,1.642964949,1.101514419,92.16803133,0.000398874,0,92.16803133,203.2541387,403.0688587,819.254137,1.130480469,1.019228958,1.673193307,0.012365083,3383.997841,4.983980064,0,0,0,0,0,0,0,0,0,630.8575724,5334.169171,33651.01014,1.676879363,1.023511243,92.16803133,0.018747062,3138.5085,0.343671755
8,0,0,0,0,0,0,0,0,0,143.3764276,202.8430945,290.8291825,0.252473971,1.012934353,0.427198291,0.00438761,3149.561913,0.88999644,141.2030292,115624.6207,163265.4669,1.563831316,1.052661648,92.16803133,0.000797747,1889.454541,92.23923104,225.2911213,593.9805373,1338.185413,1.311357344,1.0229956,2.847988608,0.011567336,3568.383418,6.870772517,0,0,0,0,0,0,0,0,0,596.379355,5969.18931,35599.01271,1.563831316,1.021773181,92.16803133,0.016752694,3378.7431,0.30053015
9,70.71067812,178.5019231,126.2199203,0.143194193,1.001168893,0.14239943,0.002792116,3070.075111,0.498398006,63.05815856,145.0328125,91.45502089,0.3203028,1.007902831,0.14239943,0.006381979,4372.111696,0.925596298,172.5160201,78511.09585,135444.2179,1.10787086,1.040995807,93.6988252,0.001196621,2885.284522,93.94802421,213.7914214,1160.2625,2480.541691,0.65944694,1.028098128,3.203987184,0.003988737,6521.386085,4.627981488,0,0,0,0,0,0,0,0,0,561.4419159,6964.054195,39099.1193,1.115407396,1.014961007,93.6988252,0.014359452,4592.0563,0.270634121
10,0,89.25096156,0,0.015073073,1,0.035599858,0.000398874,0,0.035599858,33.07189139,102.0010989,33.73369265,0.109279779,1.001168893,0.071199715,0.002792116,8663.96428,0.284798861,0,248474.677,0,0.308997995,1.030012562,99.11000356,0.000398874,0,99.11000356,59.76143047,178.5019231,106.6753027,0.184645143,1.014575726,0.14239943,0.003190989,5133.759815,0.569597722,0,0,0,0,0,0,0,0,0,408.412057,14747.40888,60230.19598,0.308997995,1.009105919,99.11000356,0.006780852,6781.1886,0.057816327
